"Abrines, Alex"
"Tucker, P.J."
"Turner, Evan"
"Turner, Myles"
"Udoh, Ekpe"
"Valanciunas, Jonas"
"VanVleet, Fred"
"Vonleh, Noah"
"Vucevic, Nikola"
"Wade, Dwyane"
"Wagner, Moritz"
"Waiters, Dion"
"Walker, Kemba"
"Wallace, Tyrone"
"Wanamaker, Brad"
"Warren, T.J."
"Westbrook, Russell"
"White, Derrick"
"Whiteside, Hassan"
"Wiggins, Andrew"
"Williams, Kenrich"
"Williams, Lou"
"Williams, Marvin"
"Williams, Troy"
"Wilson, D.J."
"Winslow, Justise"
"Wood, Christian"
"Wright, Delon"
"Yabusele, Guerschon"
"Young, Thaddeus"
"Young, Trae"
"Zeller, Cody"
"Zizic, Ante"
"Zubac, Ivica"
